business_id,yelpPage
gil-hodges-park-brooklyn,https://www.yelp.com/biz/gil-hodges-park-brooklyn
bella-pizza-brooklyn-2,https://www.yelp.com/biz/bella-pizza-brooklyn-2
angels-share-new-york,https://www.yelp.com/biz/angels-share-new-york
mcsorleys-old-ale-house-new-york,https://www.yelp.com/biz/mcsorleys-old-ale-house-new-york
chikalicious-dessert-bar-new-york-3,https://www.yelp.com/biz/chikalicious-dessert-bar-new-york-3
van-leeuwen-artisan-ice-cream-new-york-3,https://www.yelp.com/biz/van-leeuwen-artisan-ice-cream-new-york-3
dos-toros-taqueria-new-york,https://www.yelp.com/biz/dos-toros-taqueria-new-york
kenka-new-york,https://www.yelp.com/biz/kenka-new-york
joes-pizza-new-york-7,https://www.yelp.com/biz/joes-pizza-new-york-7
sake-bar-decibel-new-york,https://www.yelp.com/biz/sake-bar-decibel-new-york
peacefood-cafe-downtown-new-york,https://www.yelp.com/biz/peacefood-cafe-downtown-new-york
ottos-tacos-new-york,https://www.yelp.com/biz/ottos-tacos-new-york
la-colombe-coffee-new-york-4,https://www.yelp.com/biz/la-colombe-coffee-new-york-4
feast-new-york,https://www.yelp.com/biz/feast-new-york
kura-new-york,https://www.yelp.com/biz/kura-new-york
kotobuki-manhattan-new-york,https://www.yelp.com/biz/kotobuki-manhattan-new-york
taverna-kyclades-east-village-new-york-2,https://www.yelp.com/biz/taverna-kyclades-east-village-new-york-2
brindle-room-new-york,https://www.yelp.com/biz/brindle-room-new-york
yuba-new-york-2,https://www.yelp.com/biz/yuba-new-york-2
daveys-ice-cream-new-york,https://www.yelp.com/biz/daveys-ice-cream-new-york
raclette-new-york,https://www.yelp.com/biz/raclette-new-york
city-of-saints-coffee-roasters-new-york,https://www.yelp.com/biz/city-of-saints-coffee-roasters-new-york
